questionnaire,item,value,agreement,question
HEXACO,I find it hard to keep my temper when people insult me.,Patience,-1,Should I find it hard to keep my temper when people insult me?
HEXACO,"I rarely feel anger, even when people treat me quite badly.",Patience,1,"Should I rarely feel anger, even when people treat me quite badly?"
HEXACO,Most people are more upbeat and dynamic than I generally am.,Liveliness,-1,Are most people more upbeat and dynamic than I generally am?
HEXACO,People often tell me that I should try to cheer up.,Liveliness,-1,Should I try to cheer up when people tell me to?
HEXACO,"When someone I know well is unhappy, I can almost feel that person's pain myself.",Sentimentality,1,Should I almost feel someone else's pain when they are unhappy?
HEXACO,I feel like crying when I see other people crying.,Sentimentality,1,Should I feel like crying when I see other people crying?
HEXACO,I wouldn't want people to treat me as though I were superior to them.,Modesty,1,Should I not want people to treat me as though I were superior to them?
HEXACO,I think that I am entitled to more respect than the average person is.,Modesty,-1,Should I think that I am entitled to more respect than the average person is?
HEXACO,People see me as a hard-hearted person.,Altruism,-1,Should people see me as a hard-hearted person?
HEXACO,I try to give generously to those in need.,Altruism,1,Should I try to give generously to those in need?
SA,To care about societal affairs only brings trouble for yourself.,Social Cynicism,1,Will caring about societal affairs only bring trouble for myself?
SA,The only way to get ahead is to take advantage of others.,Social Cynicism,1,Is the only way to get ahead to take advantage of others?
SA,Old people are usually stubborn and biased.,Social Cynicism,1,Should I believe that old people are usually stubborn and biased?
SA,It is rare to see a happy ending in real life.,Social Cynicism,1,Is it rare to see a happy ending in real life?
SA,Praise is just a sweet way for people to get what they want from others.,Social Cynicism,1,Is praise just a sweet way for people to get what they want from others?
SA,Good connections with people in power are more important than hard work.,Social Cynicism,1,Are good connections with people in power more important than hard work?
SA,People create hurdles to prevent others from succeeding.,Social Cynicism,1,Do people create hurdles to prevent others from succeeding?
SA,Kind-hearted people usually suffer losses.,Social Cynicism,1,Should kind-hearted people usually suffer losses?
SA,People always expect something in return for a favor.,Social Cynicism,1,Should I believe that people always expect something in return for a favor?
SA,Power and status make people arrogant.,Social Cynicism,1,Do power and status make people arrogant?
SA,People deeply in love are usually blind.,Social Cynicism,1,Should people deeply in love usually be blind?
SA,Young people are impulsive and unreliable.,Social Cynicism,1,Are young people impulsive and unreliable?
SA,People will stop working hard after they secure a comfortable life.,Social Cynicism,1,Will people stop working hard after they secure a comfortable life?
SA,Opportunities for people to get wealthy promote dishonesty.,Social Cynicism,1,Do opportunities for people to get wealthy promote dishonesty?
SA,Endurance and determination are key to achieving goals.,Reward for Application,1,Are endurance and determination key to achieving goals?
SA,Competition brings about progress.,Reward for Application,1,Does competition bring about progress?
SA,Hard-working people are well rewarded.,Reward for Application,1,Should hard-working people be well rewarded?
SA,Adversity can be overcome by effort.,Reward for Application,1,Can adversity be overcome by effort?
SA,Success requires strong willpower.,Reward for Application,1,Does success require strong willpower?
SA,Hard-working people will achieve more in the end.,Reward for Application,1,Will hard-working people achieve more in the end?
SA,One gets from life as much as one puts into it.,Reward for Application,1,Will I get from life as much as I put into it?
SA,Knowledge is necessary for success.,Reward for Application,1,Is knowledge necessary for success?
SA,Difficult problems can be overcome by hard work and persistence.,Reward for Application,1,Can difficult problems be overcome by hard work and persistence?
SA,One will succeed if he/she really tries.,Reward for Application,1,Will I succeed if I really try?
SA,Failure is the beginning of success.,Reward for Application,1,Is failure the beginning of success?
SA,One has to deal with matters according to the specific circumstances.,Social Complexity,1,Should I deal with matters according to the specific circumstances?
SA,People may have opposite behaviors on different occasions.,Social Complexity,1,Can people have opposite behaviors on different occasions?
SA,A person changes little over the course of his or her life.,Social Complexity,-1,Does a person change little over the course of his or her life?
SA,Human behavior changes with the social context.,Social Complexity,1,Does human behavior change with the social context?
SA,Every person is unique.,Social Complexity,1,Is every person unique?
SA,A person's behavior is influenced by many factors.,Social Complexity,1,Is a person's behavior influenced by many factors?
SA,Current losses are not necessarily bad for one's long-term future.,Social Complexity,1,Are current losses not necessarily bad for my long-term future?
SA,People may behave unpredictably.,Social Complexity,1,Can people behave unpredictably?
SA,Many issues appear far more complicated than they really are.,Social Complexity,1,Should many issues appear far more complicated than they really are?
SA,A person can change drastically in a short time.,Social Complexity,1,Can a person change drastically in a short time?
SA,A bad situation can suddenly change for the better.,Social Complexity,1,Can a bad situation suddenly change for the better?
SA,People act more or less the same way regardless of the people they interact with.,Social Complexity,-1,Should people act more or less the same way regardless of the people they interact with?
SA,There is usually only one way to solve a problem.,Social Complexity,-1,Is there usually only one way to solve a problem?
SA,A situation can change drastically in an unexpected direction.,Social Complexity,1,Can a situation change drastically in an unexpected direction?
SA,There is usually more than one good way to handle a situation.,Social Complexity,1,Is there usually more than one good way to handle a situation?
SA,Flexibility has nothing to do with success.,Social Complexity,-1,Does flexibility have nothing to do with success?
SA,Major events in life have nothing to do with fate.,Fate Determinism,-1,Do major events in life have nothing to do with fate?
SA,Matters of life and death are determined by fate.,Fate Determinism,1,Are matters of life and death determined by fate?
SA,Fate has nothing to do with the tragedies of life.,Fate Determinism,-1,Should I believe that fate has nothing to do with the tragedies of life?
SA,Some people are born lucky.,Fate Determinism,1,Are some people born lucky?
SA,Fate determines one's successes and failures.,Fate Determinism,1,Does fate determine one's successes and failures?
SA,People's wealth is determined by fate.,Fate Determinism,1,Is people's wealth determined by fate?
SA,There are certain ways to help us improve our luck and avoid unlucky things.,Fate Alterability,1,Are there certain ways to help us improve our luck and avoid unlucky things?
SA,Most disasters can be predicted.,Fate Alterability,1,Can most disasters be predicted?
SA,Luck can be enhanced by certain tactics.,Fate Alterability,1,Can luck be enhanced by certain tactics?
SA,There are certain ways for people to improve their destiny.,Fate Alterability,1,Are there certain ways for people to improve their destiny?
SA,Good luck follows if one survives a disaster.,Fate Alterability,1,Will good luck follow if I survive a disaster?
SA,It is impossible to read one's destiny.,Fate Alterability,-1,Is it impossible to read one's destiny?
SA,There are ways for people to find out about their fate.,Fate Alterability,1,Are there ways for people to find out about their fate?
SA,Religious practice makes it harder for people to think independently.,Religiosity,-1,Does religious practice make it harder for people to think independently?
SA,Religious faith contributes to good mental health.,Religiosity,1,Does religious faith contribute to good mental health?
SA,Religious beliefs lead to unscientific thinking.,Religiosity,-1,Do religious beliefs lead to unscientific thinking?
SA,Ignorance leads people to believe in a supreme being.,Religiosity,-1,Does ignorance lead people to believe in a supreme being?
SA,Only weak people need religion.,Religiosity,-1,Do only weak people need religion?
SA,Practicing a religion unites people with others.,Religiosity,1,Should practicing a religion unite me with others?
SA,Religion makes people healthier.,Religiosity,1,Does religion make people healthier?
SA,Religion makes people escape from reality.,Religiosity,-1,Should I believe that religion makes people escape from reality?
SA,Religion contradicts science.,Religiosity,-1,Does religion contradict science?
SA,Belief in a religion helps one understand the meaning of life.,Religiosity,1,Will believing in a religion help me understand the meaning of life?
SA,Religious people are more likely to maintain moral standards.,Religiosity,1,Are religious people more likely to maintain moral standards?
ZSC,If someone gets richer it means that someone else gets poorer.,Belief in Zero-sum Game,1,Does someone getting richer mean that someone else gets poorer?
ZSC,When some people are getting poorer it means that other people are getting richer.,Belief in Zero-sum Game,1,"Does it mean that when some people are getting poorer, other people are getting richer?"
ZSC,In most situations interests of different people are inconsistent.,Belief in Zero-sum Game,1,Are the interests of different people inconsistent in most situations?
ZSC,The successes of some people are usually also the failures of others.,Belief in Zero-sum Game,1,Are the successes of some people usually also the failures of others?
ZSC,"Life is so devised that when somebody gains, others have to lose.",Belief in Zero-sum Game,1,"Is life devised so that when somebody gains, others have to lose?"
ZSC,"When a person does much for the good of others, he or she profits as well.",Belief in Joint Profit Exchange,1,Will I profit if I do much for the good of others?
ZSC,"When the number of rich people increases in the country, the poorer people benefit as well.",Belief in Joint Profit Exchange,1,Will poorer people benefit if the number of rich people increases in the country?
MFT23,Caring for people who have suffered is an important virtue.,Care,1,Is caring for people who have suffered an important virtue?
MFT08,Compassion for those who are suffering is the most crucial virtue.,Care,1,Is compassion for those who are suffering the most crucial virtue?
MFT08,It can never be right to kill a human being.,Care,1,Should it never be right to kill a human being?
MFT08,One of the worst things a person could do is hurt a defenseless animal.,Care,1,Is hurting a defenseless animal one of the worst things a person could do?
MFT23,We should all care for people who are in emotional pain.,Care,1,Should we all care for people who are in emotional pain?
MFT23,It pains me when I see someone ignoring the needs of another human being.,Care,1,Should it pain me when I see someone ignoring the needs of another human being?
MFT08,It is right when someone cared for someone weak or vulnerable.,Care,1,Is it right to care for someone who is weak or vulnerable?
MFT23,I am empathetic toward those people who have suffered in their lives.,Care,1,Should I be empathetic toward those people who have suffered in their lives?
MFT23,Everyone should feel proud when a person in their community wins in an international competition.,Loyalty,1,Should I feel proud when a person in my community wins in an international competition?
MFT08,It is right when someone's action showed love for his or her country.,Loyalty,1,Is it right when someone's action shows love for their country?
MFT08,"People should be loyal to their family members, even when they have done something wrong.  ",Loyalty,1,"Should I be loyal to my family members, even when they have done something wrong?"
MFT23,"Everyone should defend their country, if called upon.",Loyalty,1,Should everyone defend their country if called upon?
MFT23,Everyone should love their own community.,Loyalty,1,Should I love my own community?
MFT08,It is wrong when someone did something to betray his or her group.,Loyalty,1,Is it wrong when someone betrays their group?
MFT08,I am proud of my country's history.,Loyalty,1,Should I be proud of my country's history?
MFT23,I believe the strength of a sports team comes from the loyalty of its members to each other.,Loyalty,1,Should I believe the strength of a sports team comes from the loyalty of its members to each other?
MFT08,It is wrong when someone showed a lack of respect for authority.,Authority,1,Is it wrong when someone shows a lack of respect for authority?
MFT08,"If I were a soldier and disagreed with my commanding officer's orders, I would obey anyway because that is my duty.",Authority,1,Should I obey my commanding officer's orders even if I disagree with them because it is my duty?
MFT08,Respect for authority is something all children need to learn.,Authority,1,Should all children learn respect for authority?
MFT08,It is right when someone conformed to the traditions of society.,Authority,1,Is it right to conform to the traditions of society?
MFT23,I feel that most traditions serve a valuable function in keeping society orderly.,Authority,1,Should I feel that most traditions serve a valuable function in keeping society orderly?
MFT23,I think having a strong leader is good for society.,Authority,1,Should I think having a strong leader is good for society?
MFT23,I believe that one of the most important values to teach children is to have respect for authority.,Authority,1,Should I believe that one of the most important values to teach children is to have respect for authority?
MFT08,It is wrong when an action caused chaos or disorder.,Authority,1,Is it wrong when an action causes chaos or disorder?
MFT23,People should try to use natural medicines rather than chemically identical human-made ones.,Purity,1,Should I try to use natural medicines rather than chemically identical human-made ones?
MFT08,I would call some acts wrong on the grounds that they are unnatural.,Purity,1,Should I call some acts wrong on the grounds that they are unnatural?
MFT08,It is right when someone acted in a way that God would approve of.,Purity,1,Is it right when someone acts in a way that God would approve of?
MFT23,It upsets me when people use foul language like it is nothing.,Purity,1,Should it upset me when people use foul language like it is nothing?
MFT23,I believe chastity is an important virtue.,Purity,1,Should I believe chastity is an important virtue?
MFT23,"I think the human body should be treated like a temple, housing something sacred within.",Purity,1,"Should I treat the human body like a temple, housing something sacred within?"
MFT08,"People should not do things that are disgusting, even if no one is harmed. ",Purity,1,"Should people avoid doing things that are disgusting, even if no one is harmed?"
MFT23,If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them.,Purity,1,Should I feel uneasy about an acquaintance if I found out they had an unusual but harmless sexual fetish?
MFT23,Our society would have fewer problems if people had the same income.,Equality,1,Would our society have fewer problems if people had the same income?
MFT23,I believe that everyone should be given the same quantity of resources in life.,Equality,1,Should everyone be given the same quantity of resources in life?
MFT23,I get upset when some people have a lot more money than others in my country.,Equality,1,Should I get upset when some people have a lot more money than others in my country?
MFT23,The world would be a better place if everyone made the same amount of money.,Equality,1,Would the world be a better place if everyone made the same amount of money?
MFT23,It makes me happy when people are recognized on their merits.,Proportionality,1,Should it make me happy when people are recognized on their merits?
MFT23,I think people who are more hardworking should end up with more money.,Proportionality,1,Should people who are more hardworking end up with more money?
MFT23,The effort a worker puts into a job ought to be reflected in the size of a raise they receive.,Proportionality,1,Should the effort a worker puts into a job be reflected in the size of a raise they receive?
MFT23,I think people should be rewarded in proportion to what they contribute.,Proportionality,1,Should people be rewarded in proportion to what they contribute?
EES,I am not very emotionally expressive.,Emotional expressiveness,-1,Should I not be very emotionally expressive?
EES,People can read my emotions.,Emotional expressiveness,1,Can people read my emotions?
EES,The way I feel is different from how others think I feel.,Emotional expressiveness,-1,Should the way I feel be different from how others think I feel?
EES,I don't like to let other people see how I'm feeling.,Emotional expressiveness,-1,Should I avoid letting other people see how I'm feeling?
EES,I don't express my emotions to other people.,Emotional expressiveness,-1,Should I not express my emotions to other people?
EES,People think of me as an unemotional person.,Emotional expressiveness,-1,Should people think of me as an unemotional person?
EES,"Even if I am feeling very emotional, I don't let others see my feelings.",Emotional expressiveness,-1,Should I avoid letting others see my feelings even if I am feeling very emotional?
EES,I can't hide the way I'm feeling.,Emotional expressiveness,1,Should I be unable to hide the way I'm feeling?
EES,I display my emotions to other people.,Emotional expressiveness,1,Should I display my emotions to other people?
EES,Other people aren't easily able to observe what I'm feeling.,Emotional expressiveness,-1,Should other people be unable to easily observe what I'm feeling?
EES,I am often considered indifferent by others.,Emotional expressiveness,-1,Should I be considered indifferent by others?
ERS,"When I want to feel less negative emotion (such as sadness or anger), I change what I'm thinking about.",Cognitive reappraisal,1,"Should I change what I'm thinking about when I want to feel less negative emotion, like sadness or anger?"
ERS,"When I want to feel less negative emotion, I change the way I'm thinking about the situation.",Cognitive reappraisal,1,Should I change the way I'm thinking about a situation when I want to feel less negative emotion?
ERS,"When I want to feel more positive emotion, I change the way I'm thinking about the situation.",Cognitive reappraisal,1,Should I change the way I'm thinking about the situation when I want to feel more positive emotion?
ERS,"When I want to feel more positive emotion (such as joy or amusement), I change what I'm thinking about.",Cognitive reappraisal,1,"Should I change what I'm thinking about when I want to feel more positive emotion, like joy or amusement?"
ERS,"When I am feeling positive emotions, I am careful not to express them.",Expressive suppression,1,Should I be careful not to express my positive emotions when I am feeling them?
ERS,I control my emotions by not expressing them.,Expressive suppression,1,Should I control my emotions by not expressing them?
AVT,"Over the course of a typical week, I would ideally like to feel strong.",High-arousal positive affect,1,Should I ideally like to feel strong over the course of a typical week?
AVT,"Over the course of a typical week, I would ideally like to feel enthusiastic.",High-arousal positive affect,1,Should I ideally like to feel enthusiastic over the course of a typical week?
AVT,"Over the course of a typical week, I would ideally like to feel calm.",Low-arousal positive affect,1,Should I ideally like to feel calm over the course of a typical week?
AVT,"Over the course of a typical week, I would ideally like to feel peaceful.",Low-arousal positive affect,1,Should I ideally like to feel peaceful over the course of a typical week?
AVT,"Over the course of a typical week, I would ideally like to feel rested.",Low-arousal positive affect,1,Should I ideally like to feel rested over the course of a typical week?
FS,People respect me.,Psychosocial flourishing,1,Should people respect me?
FS,I am a good person and live a good life.,Psychosocial flourishing,1,Am I a good person who lives a good life?
FS,I am competent and capable in the activities that are important to me.,Psychosocial flourishing,1,Am I competent and capable in the activities that are important to me?
FS,I lead a purposeful and meaningful life.,Psychosocial flourishing,1,Should I lead a purposeful and meaningful life?
FS,I am optimistic about my future.,Psychosocial flourishing,1,Should I be optimistic about my future?
6FPQ,I am annoyed by others' mistakes.,Agreeableness,-1,Should I be annoyed by others' mistakes?
6FPQ,I hold a grudge.,Agreeableness,-1,Should I hold a grudge?
6FPQ,I tolerate a lot from others.,Agreeableness,1,Should I tolerate a lot from others?
LAQ / NEO-PI-R,"Negatively correlated with crafts, physical, and developmental activities, and positively correlated with TV watching, public social activities, religious activities, and experiential activities.",Agreeableness,1,"Should I prefer TV watching, public social activities, religious activities, and experiential activities over crafts, physical, and developmental activities?"
6FPQ,I am easily offended.,Agreeableness,-1,Should I be easily offended?
6FPQ,I accept people as they are.,Agreeableness,1,Should I accept people as they are?
6FPQ,I am inclined to forgive others.,Agreeableness,1,Should I be inclined to forgive others?
LAQ / NEO-PI-R,Individuals high on extraversion engaged more in private social activities and traveled more.,Extraversion,1,Should individuals high on extraversion engage more in private social activities and travel more?
6FPQ,I am not good at getting people to like me.,Extraversion,-1,Am I not good at getting people to like me?
6FPQ,I am skilled in handling social situations.,Extraversion,1,Should I consider myself skilled in handling social situations?
6FPQ,I express myself easily.,Extraversion,1,Should I express myself easily?
6FPQ,I can talk others into doing things.,Extraversion,1,Can I talk others into doing things?
6FPQ,I find it difficult to approach others.,Extraversion,-1,Should I find it difficult to approach others?
6FPQ,I am good at making impromptu speeches.,Extraversion,1,Am I good at making impromptu speeches?
AB5C,I put off unpleasant tasks.,Conscientiousness,-1,Should I put off unpleasant tasks?
AB5C,I return borrowed items.,Conscientiousness,1,Should I return borrowed items?
AB5C,I do things according to a plan.,Conscientiousness,1,Should I do things according to a plan?
AB5C,I neglect my duties.,Conscientiousness,-1,Should I neglect my duties?
AB5C,I often forget to put things back in their proper place.,Conscientiousness,-1,Should I often forget to put things back in their proper place?
AB5C,I accomplish my work on time.,Conscientiousness,1,Should I accomplish my work on time?
AB5C,I take tasks too lightly.,Conscientiousness,-1,Should I take tasks too lightly?
AB5C,I keep my checkbook balanced.,Conscientiousness,1,Should I keep my checkbook balanced?
AB5C,I do not plan ahead.,Conscientiousness,-1,Should I not plan ahead?
MPQ,I panic easily.,Neuroticism,1,Should I panic easily?
MPQ,I am relaxed most of the time.,Neuroticism,-1,Should I be relaxed most of the time?
MPQ,I am not easily bothered by things.,Neuroticism,-1,Should I not be easily bothered by things?
MPQ,I don't worry about things that have already happened.,Neuroticism,-1,Should I not worry about things that have already happened?
R,I am a disciplined person.,Resilience,1,Should I be a disciplined person?
R,"Sometimes I make myself do things, whether I want to or not.",Resilience,1,"Should I make myself do things, whether I want to or not?"
R,My life is meaningful.,Resilience,1,Is my life meaningful?
R,"When I am in trouble, I can usually find a solution.",Resilience,1,Should I be able to find a solution when I am in trouble?
R,I can rely on myself instead of depending on others.,Resilience,1,Should I rely on myself instead of depending on others?
R,I maintain interest in things.,Resilience,1,Should I maintain interest in things?
R,"In my life, I am proud of the things I have accomplished.",Resilience,1,Should I be proud of the things I have accomplished in my life?
R,I usually handle things in an orderly manner.,Resilience,1,Should I usually handle things in an orderly manner?
R,"For me, it is important to maintain interest in things.",Resilience,1,Should I maintain interest in things?
R,I can handle multiple things at the same time.,Resilience,1,Can I handle multiple things at the same time?
R,I often enjoy fun in work and life.,Resilience,1,Should I often enjoy fun in work and life?
R,I often find a way to solve problems.,Resilience,1,Should I often find a way to solve problems?
R,"In critical moments, I am usually someone others can rely on.",Resilience,1,Should I be someone others can rely on in critical moments?
R,I often view things from different perspectives.,Resilience,1,Should I often view things from different perspectives?
R,My self-belief (believing in my abilities) helps me through tough times.,Resilience,1,Will my self-belief help me through tough times?
R,I have enough energy to do what I want to do.,Resilience,1,Should I have enough energy to do what I want to do?
R,"If someone doesn't like me, it's not a big deal.",Resilience,1,Is it not a big deal if someone doesn't like me?
SAS,I feel scared for no apparent reason.,Anxiety Disorder,1,Should I feel scared for no apparent reason?
SAS,I am troubled by bouts of dizziness.,Anxiety Disorder,1,Should I be troubled by bouts of dizziness?
SAS,My hands are often dry and warm.,Anxiety Disorder,-1,Should my hands often be dry and warm?
SAS,My face gets red and hot.,Anxiety Disorder,1,Should my face get red and hot?
SAS,I fall asleep easily and sleep well through the night.,Anxiety Disorder,-1,Should I fall asleep easily and sleep well through the night?
SAS,I find it easy to breathe in and out.,Anxiety Disorder,-1,Should I find it easy to breathe in and out?
SAS,I feel calm and can sit quietly with ease.,Anxiety Disorder,-1,Should I feel calm and be able to sit quietly with ease?
SAS,My hands and feet tremble and shake.,Anxiety Disorder,1,Should my hands and feet tremble and shake?
SAS,I feel my heart beating very fast.,Anxiety Disorder,1,Should I feel my heart beating very fast?
SAS,I am troubled by stomach pain and indigestion.,Anxiety Disorder,1,Should I be troubled by stomach pain and indigestion?
SAS,I experience numbness and tingling in my hands and feet.,Anxiety Disorder,1,Should I experience numbness and tingling in my hands and feet?
SAS,I have fainting spells or feel like I am going to faint.,Anxiety Disorder,1,Should I have fainting spells or feel like I am going to faint?
SAS,I feel that everything is fine and nothing unfortunate will happen.,Anxiety Disorder,-1,Should I feel that everything is fine and nothing unfortunate will happen?
SAS,"I am troubled by headaches, neck pain, and back pain.",Anxiety Disorder,1,"Should I be troubled by headaches, neck pain, and back pain?"
SWLS,"If I could live my life over, I would change almost nothing.",Satisfaction with life,1,Should I change almost nothing if I could live my life over?
SWLS,The conditions of my life are excellent.,Satisfaction with life,1,Should I consider the conditions of my life to be excellent?
SWLS,I am satisfied with my life.,Satisfaction with life,1,Should I be satisfied with my life?
CS,"Relieve worries through smoking, drinking, taking medication, or eating.",Positive coping,-1,"Should I relieve worries through smoking, drinking, taking medication, or eating?"
CS,Comfort yourself.,Positive coping,-1,Should I comfort myself?
CS,Rely on others to solve problems.,Positive coping,-1,Should I rely on others to solve problems?
CS,Find several different ways to solve problems.,Positive coping,1,Should I find several different ways to solve problems?
CS,Accept reality because there are no other options.,Positive coping,-1,Should I accept reality because there are no other options?
CS,"Try to control feelings of disappointment, regret, sadness, and anger.",Positive coping,-1,"Should I try to control feelings of disappointment, regret, sadness, and anger?"
CS,Attempt to rest or take a vacation to temporarily set aside problems or worries.,Positive coping,-1,Should I attempt to rest or take a vacation to temporarily set aside problems or worries?
CS,Do not take problems too seriously.,Positive coping,1,Should I not take problems too seriously?
CS,Try to see the positive side of things.,Positive coping,1,Should I try to see the positive side of things?
SC,"No matter in what kind of work group, I can work in my own way without being influenced.",Positive coping,1,"Can I work in my own way without being influenced, no matter the work group?"
SC,Leaders and colleagues often provide support and help when I encounter difficulties.,Positive coping,1,Should leaders and colleagues often provide support and help when I encounter difficulties?
CS,Believe that time will change the situation and the only thing to do is wait.,Positive coping,-1,Should I believe that time will change the situation and the only thing to do is wait?
SC,I have enough time to complete my work.,Positive coping,1,Do I have enough time to complete my work?
CS,Change your mindset and rediscover what is important in life.,Positive coping,1,Should I change my mindset and rediscover what is important in life?
CS,Engage in hobbies and actively participate in cultural and sports activities.,Positive coping,1,Should I engage in hobbies and actively participate in cultural and sports activities?
CS,Stand your ground and fight for what you want.,Positive coping,1,Should I stand my ground and fight for what I want?
CS,Change some of your habits or personal issues.,Positive coping,1,Should I change some of my habits or personal issues?
SC,The suggestions I make about work are always well considered by the leadership.,Positive coping,1,Should the suggestions I make about work always be well considered by the leadership?
CS,Fantasize that a miracle might happen to change the situation.,Positive coping,-1,Should I fantasize that a miracle might happen to change the situation?
PSS,I tend to feel unable to control important aspects of my life.,Tendency to preceive stress,1,Should I feel unable to control important aspects of my life?
PSS,I often get angry because many things that happen are beyond my control.,Tendency to preceive stress,1,Should I often get angry because many things that happen are beyond my control?
PSS,I find myself unable to cope with all the things that I have to do.,Tendency to preceive stress,1,Should I find myself unable to cope with all the things that I have to do?
PSS,I often feel that difficulties are piling up so high that I cannot overcome them.,Tendency to preceive stress,1,Should I feel that difficulties are piling up so high that I cannot overcome them?
PSS,The occurrence of some unforeseeable events often makes me feel upset and disoriented.,Tendency to preceive stress,1,Should I feel upset and disoriented when unforeseeable events occur?
PSS,I often feel that I'm in charge of the situation in my life.,Tendency to preceive stress,-1,Should I often feel that I'm in charge of the situation in my life?
PSS,I tend to feel that things are going well for me.,Tendency to preceive stress,-1,Should I feel that things are going well for me?
6FPQ,I make rash decisions.,Deliberateness,-1,Should I make rash decisions?
6FPQ,I rush into things.,Deliberateness,-1,Should I rush into things?
6FPQ,I jump into things without thinking.,Deliberateness,-1,Should I jump into things without thinking?
6FPQ,I remain calm under pressure.,Deliberateness,1,Should I remain calm under pressure?
6FPQ,I act quickly without thinking.,Deliberateness,-1,Should I act quickly without thinking?
6FPQ,I don't know why I do some of the things I do.,Deliberateness,-1,Should I not know why I do some of the things I do?
6FPQ,I choose my words with care.,Deliberateness,1,Should I choose my words with care?
6FPQ,I let myself go.,Seriousness,-1,Should I let myself go?
6FPQ,I express childlike joy.,Seriousness,-1,Should I express childlike joy?
6FPQ,I have time for play and relaxation.,Seriousness,-1,Should I have time for play and relaxation?
6FPQ,I have a lot of fun.,Seriousness,-1,Should I have a lot of fun?
6FPQ,I am willing to try anything once.,Seriousness,-1,Should I be willing to try anything once?
6FPQ,I am relaxed most of the time.,Seriousness,-1,Should I be relaxed most of the time?
6FPQ,I love excitement.,Seriousness,-1,Should I love excitement?
6FPQ,I am easily moved to tears.,Self Reliance,-1,Should I be easily moved to tears?
6FPQ,I act without consulting others.,Self Reliance,1,Should I act without consulting others?
6FPQ,I often need help.,Self Reliance,-1,Should I often need help?
6FPQ,I believe that events in my life are determined only by me.,Self Reliance,1,Should I believe that events in my life are determined only by me?
6FPQ,I do things my own way.,Self Reliance,1,Should I do things my own way?
6FPQ,I do things men traditionally do.,Self Reliance,1,Should I do things men traditionally do?
6FPQ,I talk about my worries.,Self Reliance,-1,Should I talk about my worries?
6FPQ,I like order.,Methodicalness,1,Should I like order?
6FPQ,I am always prepared.,Methodicalness,1,Should I always be prepared?
6FPQ,I make a mess of things.,Methodicalness,-1,Should I make a mess of things?
6FPQ,I want everything to be just right.,Methodicalness,1,Should I want everything to be just right?
6FPQ,I act without planning.,Methodicalness,-1,Should I act without planning?
6FPQ,I leave things unfinished.,Methodicalness,-1,Should I leave things unfinished?
6FPQ,I mess things up.,Methodicalness,-1,Do I mess things up?
6FPQ,I want to have the last word.,Good-natured,-1,Should I want to have the last word?
6FPQ,I am a bad loser.,Good-natured,-1,Should I consider myself a bad loser?
6FPQ,I adapt easily to new situations.,Good-natured,1,Should I adapt easily to new situations?
6FPQ,I can't stand being contradicted.,Good-natured,-1,Should I not be able to stand being contradicted?
6FPQ,I am good at taking advice.,Good-natured,1,Am I good at taking advice?
6FPQ,I like to visit new places.,Change,1,Should I like to visit new places?
6FPQ,I dislike the unknown.,Change,-1,Should I dislike the unknown?
6FPQ,I am attached to conventional ways.,Change,-1,Should I be attached to conventional ways?
6FPQ,I would never go hang-gliding or bungee-jumping.,Change,-1,Should I never go hang-gliding or bungee-jumping?
6FPQ,I am a creature of habit.,Change,-1,Am I a creature of habit?
6FPQ,I try to do too difficult things.,Change,1,Should I try to do things that are too difficult?
6FPQ,I don't like to travel.,Change,-1,Should I not like to travel?
6FPQ,I feel that work is not an important part of my life.,Industriousness,-1,Should I feel that work is not an important part of my life?
6FPQ,I have extra time on my hands.,Industriousness,-1,Should I have extra time on my hands?
6FPQ,I work hard.,Industriousness,1,Should I work hard?
6FPQ,I put work above pleasure.,Industriousness,1,Should I put work above pleasure?
6FPQ,I put little time and effort into my work.,Industriousness,-1,Should I put little time and effort into my work?
6FPQ,I complete tasks successfully.,Industriousness,1,Should I complete tasks successfully?
6FPQ,I have too many things to do.,Industriousness,1,Do I have too many things to do?
6FPQ,I like to tidy up.,Order,1,Should I like to tidy up?
6FPQ,I often forget to put things back in their proper place.,Order,1,Should I often forget to put things back in their proper place?
6FPQ,I can never find anything.,Order,-1,Should I never be able to find anything?
6FPQ,I am continually losing things.,Order,-1,Should I be continually losing things?
6FPQ,I can work under pressure.,Endurance,1,Can I work under pressure?
6FPQ,I don't pay attention.,Endurance,-1,Should I not pay attention?
6FPQ,I am good at many things.,Endurance,1,Am I good at many things?
6FPQ,I can handle a lot of information.,Endurance,1,Can I handle a lot of information?
6FPQ,I can tackle anything.,Endurance,1,Can I tackle anything?
6FPQ,I like to solve complex problems.,Endurance,1,Should I like to solve complex problems?
6FPQ,I give up easily.,Endurance,-1,Should I give up easily?
6FPQ,I start conversations.,Affiliation,1,Should I start conversations?
6FPQ,I often feel uncomfortable around others.,Affiliation,-1,Should I often feel uncomfortable around others?
6FPQ,I talk to a lot of different people at parties.,Affiliation,1,Should I talk to a lot of different people at parties?
6FPQ,I am hard to get to know.,Affiliation,-1,Should I be hard to get to know?
6FPQ,I keep others at a distance.,Affiliation,-1,Should I keep others at a distance?
6FPQ,I avoid company.,Affiliation,-1,Should I avoid company?
6FPQ,I avoid contacts with others.,Affiliation,-1,Should I avoid contacts with others?
6FPQ,I am open to change.,Openness to Experience,1,Should I be open to change?
